Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Эколог,Өндіріс,от 200 000 до 250 000 тг.,"""KazEcoHolding"" ғылыми зерттеулер және экологиялық сараптама орталығы"" жауапкершілігі шектеулі серіктестігі","Шымкент қ., Абай ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Сатып алу жөніндегі маман,Сауда және қоймалау,от 300 000 до 350 000 тг.,"""Vangard (Вангард)"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Алматы"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Сату бөлімінің бастығы,Сауда және қоймалау,280 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Дәрігер-хирург (негізгі мамандық профилі бойынша эндоскопия),Медицина және фармацевтика,от 250 000 до 300 000 тг.,"Абай облысы денсаулық сақтау басқармасының ""Ядролық медицина және онкология орталығы"" шаруашылық жүргізу құқығындағы коммуналдық мемлекеттік кәсіпорны","Абай облысы, Семей қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Ассистент (жалпы бейін),HR және хатшылық,от 600 000 до 630 000 тг.,"""Access and Coating Group/Аксесс энд коатинг групп"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",4 жыл жұмыс өтілі,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),21.10.2024 жарияланды
Сату жөніндегі менеджер,Сауда және қоймалау,350 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Еңбекті қорғау және қауіпсіздік техникасы жөніндегі инженер,Қауіпсіздік және ТЖ,300 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",4 жыл жұмыс өтілі,вахталық әдіс,жоғары,21.10.2024 жарияланды
Бөлім бастығы (маркетинг және өнімді өткізу жөніндегі),Сауда және қоймалау,400 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Клиенттермен жұмыс жасау жөніндегі менеджер,Сауда және қоймалау,280 000 тг. бастап,"""Феникс Интернешнл Ресорсиз Каспиан"" жауапкершілігі шектеулі серіктестігі",Шымкент қ.,2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Заңгер,Құқықтану,365 000 тг. бастап,"""ҚазАвтоЖол"" Ұлттық компаниясы"" акционерлік қоғамының Маңғыстау облыстық филиалы","Маңғыстау облысы, Ақтау қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Оқу-өндірістік шеберхана мастері,Білім беру және тәрбиелеу,от 150 000 до 250 000 тг.,"""Алматы қаласы Білім басқармасының ""Принтмедиа технологиялар колледжі"" коммуналдық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Алматы облысы білім басқармасының Еңбекшіқазақ ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""И.Шорманов атындағы орта мектеп"" коммуналдық мемлекеттік мекемесі","Алматы облысы, Еңбекшіқазақ ауданы, Алмалы а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Капитанның вахталық көмекшісі,Көлік және логистика,от 200 000 до 300 000 тг.,"""Каспиан Оффшор Констракшн"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Түпқараған ауданы, Баутино а.",2 жыл жұмыс өтілі,вахталық әдіс,техникалық және кәсіби,21.10.2024 жарияланды
Хатшы,HR және хатшылық,120 000 тг. бастап,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,21.10.2024 жарияланды
Мектеп психологі,Білім беру және тәрбиелеу,120 000 тг. бастап,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Іс қағаздарын жүргізуші,HR және хатшылық,от 120 000 до 150 000 тг.,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Білім беруді ұйымдастырушы әлеуметтік педагог,Білім беру және тәрбиелеу,120 000 тг. бастап,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Физика пәнінің мұғалімі,Білім беру және тәрбиелеу,120 000 тг. бастап,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Математика мұғалімі (алгебра және геометрия),Білім беру және тәрбиелеу,от 120 000 до 150 000 тг.,"Алматы қаласы Білім басқармасының ""№45 жалпы білім беретін мектеп"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Жалпы хирург дәрігер (жалпы бейін),Медицина және фармацевтика,300 000 тг. бастап,"""А.Н.Сызганов атындағы Хирургия ұлттық ғылыми орталығы"" акционерлік қоғамы","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Офис-менеджер,HR және хатшылық,200 000 тг. бастап,"""Margulan Logistics"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,Еңбек өтілі жоқ,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),21.10.2024 жарияланды
Сатып алушы,Сауда және қоймалау,200 000 тг. бастап,"""Name Group"" жауапкершілігі шектеулі серіктестігі","Шымкент қ., Әл Фараби ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Газдар мен тозаңды талдау жөніндегі зертханашы,ТКШ және абаттандыру,от 90 000 до 100 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,21.10.2024 жарияланды
Қосымшалар бағдарламашы,IT және телекоммуникациялар,от 90 000 до 95 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,21.10.2024 жарияланды
Тәлімгер,Білім беру және тәрбиелеу,от 85 000 до 95 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,21.10.2024 жарияланды
Тарих пәнінің мұғалімі,Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,21.10.2024 жарияланды
География пәнінің мұғалімі,Білім беру және тәрбиелеу,от 180 000 до 200 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,21.10.2024 жарияланды
Химия пәнінің мұғалімі,Білім беру және тәрбиелеу,от 120 000 до 150 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,21.10.2024 жарияланды
Оқу бөлімі директорының (бастығы) орынбасары,Білім беру және тәрбиелеу,от 120 000 до 150 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,21.10.2024 жарияланды
Бағдарламалық қамсыздандыруды сүйемелдеу жөніндегі маман,IT және телекоммуникациялар,от 140 000 до 150 000 тг.,"""Жамбыл облысы әкімдігінің білім басқармасы Тараз қаласының білім бөлімінің ""№26 ""Нұрай бөбекжай-бақшасы"" мемлекеттік коммуналдық қазыналық кәсіпорны","Жамбыл облысы, Тараз қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,20.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 525 000 до 642 000 тг.,"""Haileybury Almaty"" коммерциялық емес акционерлік қоғамы","Алматы  қ., Медеу ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Зертхана бастығы (өнеркәсіпте),Ғылым және кеңес беру,684 844 тг. бастап,Қазақстан Республикасы Энергетика министрлігінің «Қазақстан Республикасының Ұлттық ядролық орталығы» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны,"Абай облысы, Курчатов қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
PR-менеджер,Маркетинг және БАҚ,720 000 тг. бастап,"""Нұрсұлтан Назарбаев халықаралық әуежайы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Басқарма бастығы,,85 000 тг. бастап,"""Кселл"" акционерлік қоғамы",Алматы  қ.,5 жыл жұмыс өтілі,толық жұмыс күні,,18.10.2024 жарияланды
Акушер,Медицина және фармацевтика,150 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№17 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Бостандық ауданы",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,18.10.2024 жарияланды
Мейіргер,Медицина және фармацевтика,от 150 000 до 200 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№17 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны",Алматы  қ.,Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,18.10.2024 жарияланды
Техник-программист,IT және телекоммуникациялар,от 100 000 до 300 000 тг.,"Астана қаласы әкімдігінің ""Астана-Жарнама"" коммуналдық мемлекеттік мекемесі",Астана қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Инженер-сметашы,Құрылыс және сәулет,400 000 тг. бастап,"Шаруашылық жүргізу құқығындағы ""Материалдық-техникалық қамтамасыз ету басқармасының әкімшілік ғимараттары дирекциясы"" республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
"Өндіріс меңгерушісі (асхана, қонақүй, дәмхана және т.б.)",Тұру және тамақтану,200 000 тг. бастап,"""Қазақстандық-француздық ""КАТКО"" Бiрлескен кәсiпорны"" жауапкершiлiгi шектеулi серiктестiгi","Түркістан облысы, Созақ ауданы, Тасты а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,400 000 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,ауысымды,жоғары,18.10.2024 жарияланды
Кітапханашы,Мәдениет және спорт,150 000 тг. бастап,"Шығыс Қазақстан облысының мәдениет басқармасының ""Шығыс Қазақстан облыстық балалар және жасөспірімдер кітапханасы"" коммуналдық мемлекеттік мекемесі","Шығыс Қазақстан облысы, Өскемен қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Эколог,Ғылым және кеңес беру,500 000 тг. бастап,Қазақстан Республикасындағы GІZ Өкілдігі,Астана қ.,8 жыл жұмыс өтілі,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Ақпараттық-коммуникациялық технологиялар саласындағы ЖОО профессоры,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті"" коммерциялық емес акционерлік қоғамы","Шығыс Қазақстан облысы, Өскемен қ.",8 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,18.10.2024 жарияланды
Тілдік пәндер саласындағы ЖОО профессоры,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті"" коммерциялық емес акционерлік қоғамы","Шығыс Қазақстан облысы, Өскемен қ.",8 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,500 000 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,ауысымды,техникалық және кәсіби,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,300 000 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,ауысымды,жоғары,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,300 000 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,689 400 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",6 жыл жұмыс өтілі,ауысымды,техникалық және кәсіби,18.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,400 000 тг. бастап,Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің «Казаэронавигация» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының «Орталық Қазақстан әуе қозғалысын ұйымдастыру өңірлік орталығы» филиалы,"Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,ауысымды,жоғары,18.10.2024 жарияланды
Физика ғылымдары саласындағы ЖОО профессоры,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті"" коммерциялық емес акционерлік қоғамы","Шығыс Қазақстан облысы, Өскемен қ.",8 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,18.10.2024 жарияланды
Гуманитарлық ғылымдар (тілдік пәндерден басқасы) саласындағы ЖОО профессоры,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Сәрсен Аманжолов атындағы Шығыс Қазақстан университеті"" коммерциялық емес акционерлік қоғамы","Шығыс Қазақстан облысы, Өскемен қ.",8 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,18.10.2024 жарияланды
Коррреспондент,Маркетинг және БАҚ,101 000 тг. бастап,«Қазақстан Республикасы Экология және табиғи ресурстар министрлігі Орман шаруашылығы және жануарлар дүниесі комитетінің «Семей орманы» мемлекеттік орман табиғи резерваты» республикалық мемлекеттік мекемесі,"Абай облысы, Семей қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,18.10.2024 жарияланды
Химик-биолог,Медицина және фармацевтика,240 000 тг. бастап,"""Мембран"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Сатып алу жөніндегі маман,Сауда және қоймалау,от 200 000 до 350 000 тг.,"""Моторная компания ""Астана-Моторс"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 350 000 до 400 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№18 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Мыйбұлақ а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Музыка мектебі оқытушысы,Білім беру және тәрбиелеу,120 000 тг. бастап,Smart Choice,Алматы  қ.,1 жыл жұмыс өтілі,толық жұмыс күні,ортадан кейін,17.10.2024 жарияланды
Мұражай қараушысы,Мәдениет және спорт,88 969 тг. бастап,Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің Қазақстан Республикасының Ұлттық музейі Республикалық мемлекеттік қазыналық кәсіпорны,"Астана қ., ""Алматы"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 171 527 до 350 309 тг.,"Абай облысы білім басқармасының Бородулиха ауданы білім бөлімінің ""Переменовка орта мектебі"" коммуналдық мемлекеттік мекемесі","Абай облысы, Бородулиха ауданы, Переменовка а.",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Акушер,Медицина және фармацевтика,от 150 000 до 250 000 тг.,"Абай облысы денсаулық сақтау басқармасының ""Үржар ауданының көпсалалы орталық ауруханасы"" шаруашылық жүргізу құқығындағы коммуналдық мемлекеттік кәсіпорны","Абай облысы, Үржар ауданы, Үржар а.",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 200 000 до 220 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Абай атындағы Республикалық мамандандырылған дарынды балаларға арналған қазақ тілі мен әдебиетін тереңдете оқытатын орта мектеп-интернаты"" республикалық мемлекеттік мекемесі","Алматы  қ., Медеу ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Мектептің әлеуметтік жұмыс жөніндегі маманы,Білім беру және тәрбиелеу,230 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Бағдарламалар және жобалар координаторы ( менеджері),Білім беру және тәрбиелеу,250 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Сатып алу жөніндегі менеджер,Сауда және қоймалау,от 100 000 до 500 000 тг.,"""International Safety Standard"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,350 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Химия пәнінің мұғалімі,Білім беру және тәрбиелеу,350 000 тг. бастап,"Астана қаласы әкімдігінің ""№ 81 ""Astana English School"" халықаралық мектеп"" коммуналдық мемлекеттік мекемесі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,17.10.2024 жарияланды
Жалпы практика дәрігері,Медицина және фармацевтика,100 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№33 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Мейіргер (жалпы бейін),Медицина және фармацевтика,100 000 тг. бастап,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№33 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,17.10.2024 жарияланды
Халықаралық қатынастар жөніндегі маман,Маркетинг және БАҚ,от 200 000 до 230 000 тг.,"""Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Абай атындағы Қазақ ұлттық опера және балет театры"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Эколог,Ғылым және кеңес беру,от 150 000 до 250 000 тг.,"""Nomad Eco"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
PR-менеджер,Маркетинг және БАҚ,от 200 000 до 230 000 тг.,"""Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Абай атындағы Қазақ ұлттық опера және балет театры"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,«Батыс Қазақстан облысы әкімдігі білім басқармасының Қаратөбе ауданы білім беру бөлімінің «Соналы жалпы орта білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Батыс Қазақстан облысы, Қаратөбе ауданы, Соналы а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,17.10.2024 жарияланды
Кафедра меңгерушісі,Білім беру және тәрбиелеу,от 400 000 до 500 000 тг.,"""Ulttyq Business & Engineering School"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,17.10.2024 жарияланды
Редактор (жалпы бейін),Маркетинг және БАҚ,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
