Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Құрылымдық бөлімнің бастығы,Басшылар,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Авиациялық қауіпсіздік жөніндегі инспектор,Көлік және логистика,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Библиограф,Мәдениет және спорт,от 130 000 до 135 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Кітапханашы,Мәдениет және спорт,от 150 000 до 170 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Кәсіптік бағдар беру жөніндегі консультант,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Кәсіптік бағдар беру жөніндегі консультант,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Физика пәнінің мұғалімі,Білім беру және тәрбиелеу,509 000 тг. бастап,"""Назарбаев Зияткерлік мектептері"" дербес білім беру ұйымының ""Педагогикалық өлшеулер орталығы"" филиалы","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,10.10.2024 жарияланды
Ұшу қауіпсіздігі жөніндегі инженер-инспектор,Көлік және логистика,700 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Математика мұғалімі (алгебра және геометрия),Білім беру және тәрбиелеу,от 100 000 до 120 000 тг.,"""I-SHUAK"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Наурызбай ауданы",Еңбек өтілі жоқ,басқа спецификалық жұмыстар,жоғары,10.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 300 000 тг.,Global Mind Academy,"Алматы  қ., Жетісу ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Туризм жөніндегі агент,Туризм,от 100 000 до 120 000 тг.,ИП 7-SU Travel,"Жетісу облысы, Талдықорған қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Кадрлар бойынша маман,HR және хатшылық,250 000 тг. бастап,"""Аджип Қарашығанақ Б.В."" жаупкершілігі шектеулі компаниясының филиалы","Астана қ., ""Есіл"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Авиация технигі,Көлік және логистика,167 800 тг. бастап,"""Павлодар әуежайы"" акционерлік қоғамы","Павлодар облысы, Павлодар қ.",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,10.10.2024 жарияланды
Кадр жөніндегі инспектор,Әлеуметтік қызмет көрсету,от 85 000 до 100 000 тг.,"Түркістан облысының цифрландыру, мемлекеттік қызметтер көрсету және архивтер басқармасының ""Түркістан облысының мемлекеттік архиві"" коммуналдық мемлекеттік мекемесі","Шымкент қ., Әл Фараби ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 85 000 до 180 000 тг.,Polyglot,"Абай облысы, Семей қ.",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,09.10.2024 жарияланды
Экономист-аналитик,Қаржы және бухгалтерлік есеп,от 250 000 до 300 000 тг.,"""Каспиан Оффшор Констракшн"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Түпқараған ауданы, Баутино а.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,09.10.2024 жарияланды
Корпоративтік маман,HR және хатшылық,от 490 000 до 625 000 тг.,"""Хабар"" Агенттігі"" Акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,09.10.2024 жарияланды
Медицина тіркеушісі,Медицина және фармацевтика,190 000 тг. бастап,"""MediSupport"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Медеу ауданы",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,08.10.2024 жарияланды
География пәнінің мұғалімі,Білім беру және тәрбиелеу,509 000 тг. бастап,"""Назарбаев Зияткерлік мектептері"" дербес білім беру ұйымының ""Педагогикалық өлшеулер орталығы"" филиалы","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,08.10.2024 жарияланды
Бөлім бастығы (көлікте),Көлік және логистика,300 000 тг. бастап,"""RG Gold"" Жауапкершілігі шектеулі серіктесігі","Ақмола облысы, Бурабай  ауданы, Щучинск қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,08.10.2024 жарияланды
Бөлім бастығы (құрылыста),Құрылыс және сәулет,300 000 тг. бастап,"""RG Gold"" Жауапкершілігі шектеулі серіктесігі","Ақмола облысы, Бурабай  ауданы, Щучинск қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,08.10.2024 жарияланды
Әкімшілік хатшысы,HR және хатшылық,200 000 тг. бастап,"""RG Gold"" Жауапкершілігі шектеулі серіктесігі","Ақмола облысы, Бурабай  ауданы, Щучинск қ.",3 жыл жұмыс өтілі,вахталық әдіс,жоғары,08.10.2024 жарияланды
Маркетолог,Маркетинг және БАҚ,от 300 000 до 350 000 тг.,"Қазақстан Республикасы Денсаулық сақтау министрлігінің ""Ұлттық шұғыл медицинаны үйлестіру орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Нұра"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,08.10.2024 жарияланды
Санитариялық инспектор,Өндіріс,400 000 тг. бастап,"""Орика-Қазақстан"" акционерлік қоғамы","Шығыс Қазақстан облысы, Глубокое ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,08.10.2024 жарияланды
Ғылыми қызметкер (құқық саласындағы),Құқықтану,от 200 000 до 250 000 тг.,"""Қонаев университеті"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алмалы ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,08.10.2024 жарияланды
Журналист,Маркетинг және БАҚ,250 000 тг. бастап,"Қазақстан Республикасы Ғылым және жоғары білім министрлігі Ғылым комитетінің ""Ш.Ш.Уәлиханов атындығы Тарих және этнология институты"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Алматы  қ., Медеу ауданы",6 жыл жұмыс өтілі,толық жұмыс күні,жоғары,07.10.2024 жарияланды
Денсаулық сақтау менеджері,Медицина және фармацевтика,от 250 000 до 550 000 тг.,"""Аян"" емдеу - сауықтыру орталығы"" жауапкершілігі шектеулі серіктестігі","Түркістан облысы, Сарыағаш ауданы, Сарыағаш қ.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,07.10.2024 жарияланды
Ғылыми қызметкер (ауыл шаруашылығы саласындағы),Ғылым және кеңес беру,от 125 000 до 149 776 тг.,"""Қазақ ғылыми-зерттеу ветеринария институты"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,07.10.2024 жарияланды
Логистика маманы,Көлік және логистика,300 000 тг. бастап,"""FTG Company"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,07.10.2024 жарияланды
Орталық басшысы (білім беруде),Басшылар,от 220 000 до 251 000 тг.,"""Меңдіқара ауданы әкімдігінің мәдениет және тілдерді дамыту бөлімі"" мемлекеттік мекемесі","Қостанай облысы, Меңдіқара ауданы, Боровской а.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,07.10.2024 жарияланды
Бас атқарушы директорының орынбасары,Көлік және логистика,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,150 000 тг. бастап,"Учебный центр ""Planeta KIDS""","Астана қ., ""Алматы"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,техникалық және кәсіби,04.10.2024 жарияланды
Маркетинг қызметінің басшысы,Маркетинг және БАҚ,200 000 тг. бастап,Kokshetau Medical Center,"Ақмола облысы, Көкшетау қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Web-әзірлеуші,IT және телекоммуникациялар,300 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Республикалық электрондық денсаулық сақтау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Web-әзірлеуші,IT және телекоммуникациялар,400 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Республикалық электрондық денсаулық сақтау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Web-мастер,IT және телекоммуникациялар,300 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Республикалық электрондық денсаулық сақтау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Web-мастер,IT және телекоммуникациялар,400 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Республикалық электрондық денсаулық сақтау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Web-әзірлеуші,IT және телекоммуникациялар,500 000 тг. бастап,"Қазақстан Республикасы Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігінің ""Республикалық электрондық денсаулық сақтау орталығы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 140 000 до 160 000 тг.,"Қарағанды облысы білім басқармасының Шет ауданы білім бөлімінің ""Ш. Уәлиханов атындағы жалпы білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Қарағанды облысы, Шет ауданы, Ақшатау к.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,04.10.2024 жарияланды
Жоба менеджері,Ғылым және кеңес беру,от 200 000 до 300 000 тг.,"""TURAN"" арнайы экономикалық аймағының Басқарушы компаниясы"" акционерлік қоғамы","Түркістан облысы, Түркістан қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,03.10.2024 жарияланды
Заңгер,Құқықтану,94 500 тг. бастап,"Түркістан облысының цифрландыру, мемлекеттік қызметтер көрсету және архивтер басқармасының ""Түркістан облысының мемлекеттік архиві"" коммуналдық мемлекеттік мекемесі","Шымкент қ., Әл Фараби ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,03.10.2024 жарияланды
Азық-түлік емес тауарлар сатушы,Біліктілігі жоқ мамандықтар,от 90 000 до 120 000 тг.,"""БПКА"" Баспагерлер полиграфисттер және кітаптаратушылар Ассоциациясы"" заңды тұлғалардын бірлестігі","Алматы  қ., Медеу ауданы",Еңбек өтілі жоқ,толық жұмыс күні,ортадан кейін,03.10.2024 жарияланды
Қоғаммен байланыс жөніндегі маман,Маркетинг және БАҚ,400 000 тг. бастап,"""Шайсұлтан Шаяхметов атындағы ""Тіл-Қазына"" ұлттық ғылыми-практикалық орталығы"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,03.10.2024 жарияланды
Сатып алу жөніндегі менеджер,Қаржы және бухгалтерлік есеп,95 000 тг. бастап,"""Атырау облысы Дене шынықтыру, спорт және туризм басқармасының ""Дамба балалар-жасөспірімдер спорт мектебі"" коммуналдық мемлекеттік мекемесі","Атырау облысы, Атырау қ., Жаңаталап а.",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,03.10.2024 жарияланды
Пробиркалы талдау зертханашы,Ғылым және кеңес беру,от 200 000 до 250 000 тг.,"""Qazaq Institute of Innovative Medicine"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Нұра"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,03.10.2024 жарияланды
Жоба жетекшісі,IT және телекоммуникациялар,550 000 тг. бастап,"""Шайсұлтан Шаяхметов атындағы ""Тіл-Қазына"" ұлттық ғылыми-практикалық орталығы"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Техник-программист,IT және телекоммуникациялар,430 000 тг. бастап,"""Шайсұлтан Шаяхметов атындағы ""Тіл-Қазына"" ұлттық ғылыми-практикалық орталығы"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Қаржы директоры,Қаржы және бухгалтерлік есеп,750 000 тг. бастап,"""Шайсұлтан Шаяхметов атындағы ""Тіл-Қазына"" ұлттық ғылыми-практикалық орталығы"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Ғылым және кеңес беру,420 000 тг. бастап,"""Шайсұлтан Шаяхметов атындағы ""Тіл-Қазына"" ұлттық ғылыми-практикалық орталығы"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,02.10.2024 жарияланды
Кітапхана директорының орынбасары,Басшылар,от 120 000 до 160 000 тг.,"""Бөрлі ауданының орталықтандырылған кітапханалар жүйесі"" коммуналдық мемлекеттік мекемесі","Батыс Қазақстан облысы, Бөрлі ауданы, Ақсай қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Офис-менеджер,HR және хатшылық,от 150 000 до 200 000 тг.,"""Today aktau"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Инженер-технолог-металлург,"Мұнай, газ, ресурстарды өндіру",700 000 тг. бастап,"""ИЛФ Казахстан"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алмалы ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Қонақүй респешионисі,Туризм,от 150 000 до 160 000 тг.,"ИП ""Есеналиева Г.С.""","Жамбыл облысы, Тараз қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Қызметкерлермен жұмыс жасау жөніндегі кеңесші,HR және хатшылық,200 000 тг. бастап,"""ИЛФ Казахстан"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Алмалы ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Магистральдық құбыр желілерін пайдалану жөніндегі инженер,"Мұнай, газ, ресурстарды өндіру",500 000 тг. бастап,"""ИЛФ Қазақстан"" ЖШС Атырау қ. Филиалы","Атырау облысы, Атырау қ.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Жабдықтау жөніндегі маман,Қаржы және бухгалтерлік есеп,500 000 тг. бастап,"""ИЛФ Қазақстан"" ЖШС Атырау қ. Филиалы","Атырау облысы, Атырау қ.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Инженер-химик (мұнай және газ),"Мұнай, газ, ресурстарды өндіру",700 000 тг. бастап,"""ИЛФ Қазақстан"" ЖШС Атырау қ. Филиалы","Атырау облысы, Атырау қ.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Инженер-химик (мұнай және газ),"Мұнай, газ, ресурстарды өндіру",700 000 тг. бастап,"""ИЛФ Қазақстан"" ЖШС Атырау қ. Филиалы","Атырау облысы, Атырау қ.",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,Қостанай облысы әкімдігі білім басқармасының «Рудный қаласы білім бөлімінің Әлихан Бөкейхан атындағы жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Қостанай облысы, Рудный қ., Қашар к.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
Азық-түлік емес тауарлар сатушы,Біліктілігі жоқ мамандықтар,89 273 тг. бастап,"Қарағанды облысының мәдениет,архивтер және құжаттама басқармасының ""Долинка кентіндегі саяси қуғын-сүргін құрбандарын есте сақтау музейі"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Қарағанды облысы, Шахтинск қ., Долинка к.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,02.10.2024 жарияланды
3D модельдеу жөніндегі инженер,Құрылыс және сәулет,от 85 000 до 200 000 тг.,"""International Design Bureau"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Медеу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,01.10.2024 жарияланды
Жоба менеджері,Ғылым және кеңес беру,от 300 000 до 370 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,01.10.2024 жарияланды
Сауалнамалар жөніндегі маман,Ғылым және кеңес беру,от 85 000 до 100 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,01.10.2024 жарияланды
Аналитик-зерттеуші,Ғылым және кеңес беру,от 400 000 до 450 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,01.10.2024 жарияланды
Аналитик-зерттеуші,Ғылым және кеңес беру,от 300 000 до 370 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,01.10.2024 жарияланды
Бас экономист,Қаржы және бухгалтерлік есеп,от 370 000 до 420 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,01.10.2024 жарияланды
Хатшы-референт,HR және хатшылық,от 190 000 до 240 000 тг.,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,01.10.2024 жарияланды
Ішкі аудит бөлімінің бастығы,Басшылар,500 000 тг. бастап,"""Қазақстандық қоғамдық даму институты"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",6 жыл жұмыс өтілі,толық жұмыс күні,жоғары,01.10.2024 жарияланды
Дәрігер-педиатр,Медицина және фармацевтика,от 250 000 до 480 000 тг.,"""Алматы облысының денсаулық сақтау басқармасы"" мемлекеттік мекемесінің шаруашылық жүргізу құқығындағы ""Райымбек аудандық ауруханасы"" коммуналдық мемлекеттік кәсіпорны","Алматы облысы, Райымбек ауданы, Нарынқол а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,01.10.2024 жарияланды
Инженер-электроншы,"Мұнай, газ, ресурстарды өндіру",от 260 000 до 300 000 тг.,"""CNLC International Kazakhstan Inc"" (КНЛК Интернешнл Казахстан Инк)"" жауапкершілігі шектеулі серіктестігінің Ақтөбе қаласындағы филиалы","Ақтөбе облысы, Ақтөбе қ., Астана ауданы",Еңбек өтілі жоқ,вахталық әдіс,техникалық және кәсіби,01.10.2024 жарияланды
Клиника әкімшісі,Медицина және фармацевтика,от 150 000 до 155 000 тг.,"""Стоматология"" оқу-клиникалық орталығы"" жауапкершілігі шектеулі серіктестігі",Астана қ.,1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,01.10.2024 жарияланды
Музыка мектебі оқытушысы,Білім беру және тәрбиелеу,от 85 000 до 90 000 тг.,«Ақмола облысы білім басқармасының Қорғалжын ауданы бойынша білім бөлімі Ұялы ауылының негізгі орта мектебі» коммуналдық мемлекеттік мекемесі,"Ақмола облысы, Қорғалжын ауданы, Ұялы а.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,01.10.2024 жарияланды
Еңбекті қорғау және қауіпсіздік техникасы жөніндегі инженер,Өндіріс,125 000 тг. бастап,"""Caspian Offshore Construction Realty"" (Каспиан Оффшор Констракшн Реалти) жауапкершілігі шектеулі серіктестігі","Атырау облысы, Жылыой ауданы, Құлсары қ.",3 жыл жұмыс өтілі,вахталық әдіс,жоғары,30.09.2024 жарияланды
Автомобиль көлігінің диспетчері,Көлік және логистика,от 200 000 до 300 000 тг.,"""Caspian Offshore Construction Realty"" (Каспиан Оффшор Констракшн Реалти) жауапкершілігі шектеулі серіктестігі","Атырау облысы, Атырау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,30.09.2024 жарияланды
Қозғалыс қауіпсіздігі жөніндегі инженер,Көлік және логистика,300 000 тг. бастап,"""Caspian Offshore Construction Realty"" (Каспиан Оффшор Констракшн Реалти) жауапкершілігі шектеулі серіктестігі","Атырау облысы, Жылыой ауданы, Құлсары қ.",5 жыл жұмыс өтілі,вахталық әдіс,жоғары,30.09.2024 жарияланды
Іс қағаздарын жүргізуші,HR және хатшылық,от 400 000 до 450 000 тг.,"""Realbet"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Бостандық ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,30.09.2024 жарияланды
Қазақ тілі мен әдебиеті пәнінің мұғалімі,Білім беру және тәрбиелеу,,"""LOGIC EDU"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Наурызбай ауданы",Еңбек өтілі жоқ,,техникалық және кәсіби,27.09.2024 жарияланды
Спорттық медицина дәрігері,Медицина және фармацевтика,280 000 тг. бастап,"""Атырау облысы Дене шынықтыру, спорт және туризм басқармасының ""Олимпиадалық емес спорт түрлерінен Жоғары спорт шеберлігі мектебі"" коммуналдық мемлекеттік мекемесі","Атырау облысы, Атырау қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,25.09.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,,ИП Жансая Жанатбеккызы,"Алматы  қ., Әуезов ауданы",Еңбек өтілі жоқ,,техникалық және кәсіби,10.09.2024 жарияланды
Тіл мектебінің мұғалімі,Білім беру және тәрбиелеу,,"ИП "" Жамал А.Қ ""","Шымкент қ., Қаратау ауданы",Еңбек өтілі жоқ,,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),10.09.2024 жарияланды
Заңгер,,85 000 тг. бастап,"Қазақстан Республикасындағы ""ҚМГ Қашаған Б.В."" жауапкершілігі шектеулі жеке компаниясының филиалы",Астана қ.,2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,09.09.2024 жарияланды
Іс қағаздарын жүргізуші,HR және хатшылық,от 85 000 до 100 000 тг.,"Шымкент қаласы білім басқармасының ""№144 жалпы орта білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Шымкент қ., Қаратау ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,06.09.2024 жарияланды
Іс-шараларды ұйымдастырушы,Туризм,85 000 тг. бастап,"""BeStar Travel"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Бостандық ауданы",Еңбек өтілі жоқ,толық емес жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),03.09.2024 жарияланды
